group	name	parent	label	depth	title	meaning	ALL	
seafood	SeafoodMaterialMenu	animal material	{organism} material	0	{organism} material	FOODON:03420164	TRUE	
seafood	SeafoodMaterialMenu	{organism} material	{organism} food product	1	. . {organism} food product	FOODON:00004242		
seafood	SeafoodMaterialMenu	{organism} material	{organism} milt	1	. . {organism} milt	FOODON:02010334		
seafood	SeafoodMaterialMenu	{organism} material	{organism} substance	1	. . {organism} substance	FOODON:02010001		
seafood	SeafoodMaterialMenu	{organism} substance	{organism} blood	2	. . {organism} blood	FOODON:02010014		
seafood	SeafoodMaterialMenu	{organism} blood	{organism} blood (raw)	3	. . . . {organism} blood (raw)	FOODON:02010015		
seafood	SeafoodMaterialMenu	{organism} material	{organism}	0	{organism}	FOODON:00003004	TRUE	
seafood	SeafoodMaterialMenu	{organism} material	{organism} (no species taxon)	0	{organism} (no species taxon)	FOODON:00003004		
seafood	SeafoodMaterialMenu	{organism}	{organism} (shell on)	1	. . {organism} (shell on)	FOODON:02022094		
seafood	SeafoodMaterialMenu	{organism} (shell on)	{organism} (shell on, raw)	2	. . . . {organism} (shell on, raw)	FOODON:02022095		
seafood	SeafoodMaterialMenu	{organism}	{organism} (shell off)	1	. . {organism} (shell off)	FOODON:02010325		
seafood	SeafoodMaterialMenu	{organism} (shell off)	{organism} (shell off, raw)	2	. . . . {organism} (shell off, raw)	FOODON:02010326		
seafood	SeafoodMaterialMenu	{organism}	live {organism}	1	. . live {organism}	FOODON:02010019		
seafood	SeafoodMaterialMenu	{organism}	{organism} carcass	1	. . {organism} carcass	FOODON:02010020		
seafood	SeafoodMaterialMenu	{organism} carcass	{organism} carcass (raw)	2	. . . . {organism} carcass (raw)	FOODON:02010021		
seafood	SeafoodMaterialMenu	{organism} material	{organism} processed carcass	0	{organism} processed carcass	FOODON:02010022		
seafood	SeafoodMaterialMenu	{organism} processed carcass	{organism} processed carcass (raw)	1	. . {organism} processed carcass (raw)	FOODON:02010023		
seafood	SeafoodMaterialMenu	{organism} processed carcass (raw)	{organism} carcass (raw, skinless)	2	. . . . {organism} carcass (raw, skinless)	FOODON:02010024		
seafood	SeafoodMaterialMenu	{organism} processed carcass	{organism} carcass (gutted)	1	. . {organism} carcass (gutted)	FOODON:02010026		
seafood	SeafoodMaterialMenu	{organism} carcass (gutted)	{organism} carcass (gutted, raw)	2	. . . . {organism} carcass (gutted, raw)	FOODON:02010322		
								
seafood	SeafoodPieceMenu	{organism} material	piece of {organism}	0	piece of {organism}	FOODON:00004332	TRUE	
seafood	SeafoodPieceMenu	piece of {organism}	piece of {organism} (raw)	1	. . piece of {organism} (raw)	FOODON:02010027	TRUE	
seafood	SeafoodPieceMenu	piece of {organism}	{organism} head	1	. . {organism} head	FOODON:02010333		
seafood	SeafoodPieceMenu	piece of {organism}	{organism} belly	1	. . {organism} belly	FOODON:02010330		
seafood	SeafoodPieceMenu	piece of {organism}	{organism} fin	1	. . {organism} fin	FOODON:02010332		
seafood	SeafoodPieceMenu	piece of {organism}	butchery cut of {organism}	1	. . butchery cut of {organism}	FOODON:03530146		
seafood	SeafoodPieceMenu	butchery cut of {organism}	butchery cut of {organism} (raw)	2	. . . . butchery cut of {organism} (raw)	FOODON:02010306		
seafood	SeafoodPieceMenu	piece of {organism}	piece of {organism} meat	1	. . piece of {organism} meat	FOODON:02010107	TRUE	
seafood	SeafoodPieceMenu	piece of {organism} meat	piece of {organism} meat (raw)	2	. . . . piece of {organism} meat (raw)	FOODON:02010108		
seafood	SeafoodPieceMenu	piece of {organism}	{organism} tail	1	. . {organism} tail	FOODON:02010137		
seafood	SeafoodPieceMenu	{organism} tail	{organism} tail (raw)	2	. . . . {organism} tail (raw)	FOODON:02010152		
seafood	SeafoodPieceMenu	piece of {organism} meat	{organism} fillet	2	. . {organism} fillet	FOODON:02010016		
seafood	SeafoodPieceMenu	{organism} fillet	{organism} fillet (raw)	3	. . . . {organism} fillet (raw)	FOODON:02010017		
seafood	SeafoodPieceMenu	{organism} fillet	{organism} fillet (skinless)	3	. . . . {organism} fillet (skinless)	FOODON:02021802		
seafood	SeafoodPieceMenu	{organism} fillet (skinless)	{organism} fillet (skinless, raw)	4	. . . . . . {organism} fillet (skinless, raw)	FOODON:02021803		
seafood	SeafoodPieceMenu	{organism} fillet	{organism} fillet (with skin)	3	. . . . {organism} fillet (with skin)	FOODON:02021805		
seafood	SeafoodPieceMenu	{organism} fillet (with skin)	{organism} fillet (with skin, raw)	4	. . . . . . {organism} fillet (with skin, raw)	FOODON:02021806		
seafood	SeafoodPieceMenu	{organism} fillet	{organism} steak	3	. . . . {organism} steak	FOODON:02010310		
seafood	SeafoodPieceMenu	{organism} steak	{organism} steak (raw)	4	. . . . . . {organism} steak (raw)	FOODON:02010311		
seafood	SeafoodPieceMenu	{organism} fillet	{organism} cheek	3	. . . . {organism} cheek	FOODON:02010331		
seafood	SeafoodPieceMenu	{organism} material	piece(s) of {organism}	0	piece(s) of {organism}	FOODON:00004335		
seafood	SeafoodPieceMenu	piece(s) of {organism}	piece(s) of {organism} (raw)	1	. . piece(s) of {organism} (raw)	FOODON:02010328		
seafood	SeafoodPieceMenu	piece(s) of {organism}	piece(s) of {organism} meat	1	. . piece(s) of {organism} meat	FOODON:02010216		
seafood	SeafoodPieceMenu	piece(s) of {organism} meat	piece(s) of {organism} meat (raw)	2	. . . . piece(s) of {organism} meat (raw)	FOODON:02010217		
seafood	SeafoodPieceMenu	piece(s) of {organism} meat	piece(s) of {organism} meat (boneless)	2	. . . . piece(s) of {organism} meat (boneless)	FOODON:02010222		
seafood	SeafoodPieceMenu	piece(s) of {organism} meat (boneless)	{organism} meat (ground)	3	. . . . . . {organism} meat (ground)	FOODON:02010223		
seafood	SeafoodPieceMenu	{organism} meat (ground)	{organism} meat (ground, raw)	4	. . . . . . . . {organism} meat (ground, raw)	FOODON:02010224		
								
seafood	SeafoodOrganMenu	piece of {organism}	{organism} organ	0	{organism} organ	FOODON:00004436		
