Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	taxon	definition	definition source	Last Updated	Curation notes	created	contributor	Exact Synonym	Broad Synonym	French syn.	see also	hasDbXref	curation status	comment	image	term requested	EFSA Code	
ID	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|		AL IAO:0000115@en	A IAO:0000119 SPLIT=|			AT dcterms:date^^xsd:dateTime	A dcterms:contributor SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	A rdfs:seeAlso SPLIT=|		AI IAO:0000114	AL rdfs:comment@en	AI schema:image			
FOODON:00002473	pome fruit	apple	'pome fruit' and 'in taxon' some 'Malus domestica'		Malus domestica	A pome fruit of an apple tree (Malus domestica).					https://orcid.org/0000-0002-8844-9165				https://www-atlasobscura-com.cdn.ampproject.org/c/s/www.atlasobscura.com/articles/heritage-appalachian-apples.amp		IAO:0000122	A whole apple may include a stem.				
FOODON:00002560	apple	Red Delicious apple	'apple' and 'in taxon' some 'Red Delicious apple tree'			A pome fruit of a Red Deliciousapple tree cultivar.	https://en.wikipedia.org/wiki/Red_Delicious			2019-04-13T17:08:41												
FOODON:00004201	Red Delicious apple	Red Delicious apple (raw)	'Red Delicious apple' and 'has quality' some raw			A raw Red Delicious apple.	https://en.wikipedia.org/wiki/Red_Delicious			2022-02-17T19:34:52	https://orcid.org/0000-0002-8844-9165											
FOODON:00002862	apple	Fuji apple	'apple' and 'in taxon' some 'Fuji apple tree'			A pome fruit of a Fuji apple tree cultivar.	https://en.wikipedia.org/wiki/Fuji_(apple)			2019-08-07T20:37:28												
FOODON:00004205	Fuji apple	Fuji apple (raw)				A whole raw Fuji apple.	https://en.wikipedia.org/wiki/Fuji_(apple)			2022-02-17T19:34:52	https://orcid.org/0000-0002-8844-9165											
FOODON:00003348	apple	Gala apple				A pome fruit of a Gala apple tree cultivar.	https://en.wikipedia.org/wiki/Gala_(apple)			2020-06-06T00:48:34												
FOODON:00004204	Gala apple	Gala apple (raw)				A whole raw Gala apple.	https://en.wikipedia.org/wiki/Gala_(apple)			2022-02-17T19:34:52	https://orcid.org/0000-0002-8844-9165											
FOODON:00002853	apple	Granny Smith apple	'apple' and 'in taxon' some 'Granny Smith apple tree'			A pome fruit of a Granny Smith apple tree cultivar.	https://en.wikipedia.org/wiki/Granny_Smith			2019-08-07T19:34:52												
FOODON:00004206	Granny Smith apple	Granny Smith apple (raw)				A whole raw Granny Smith apple.	https://en.wikipedia.org/wiki/Granny_Smith			2022-02-17T19:34:52	https://orcid.org/0000-0002-8844-9165											
