subject_id	DRAFT ID (not imported yet)	subject_label	subject_category	predicate_id	object_id	object_label	mapping_justification	mapping_source	mapping_date	confidence	author_id	comment	See also	
ID		AL rdfs:label@en			SC % SPLIT=|							AL rdfs:comment@en		
											A dcterms:contributor SPLIT=|			
wd:Q4750898		Capsicum annuum group 'New Mexico'	cultivar group - Wikidata	skos:broadMatch	NCBITaxon:4072	Capsicum annuum	ManualMappingCuration	https://w.wiki/D7XD	April 14,2025	1	https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-4499-0451			
wd:Q2003973		Capsicum annuum 'NuMex Big Jim’	cultivar - Wikidata	subclass of - Wikidata	wd:Q4750898	New Mexico chile	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q5503208		Capsicum annuum 'Fresno pepper'	cultivar - Wikidata	subclass of - Wikidata	wd:Q4750898	New Mexico chile	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q7067706		Capsicum annuum 'NuMex Twilight'	cultivar - Wikidata	subclass of - Wikidata	wd:Q4750898	New Mexico chile	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q33150947		Capsicum annuum 'Chimayó'	cultivar - Wikidata	subclass of - Wikidata	wd:Q4750898	New Mexico chile	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q85747085		Capsicum annuum 'Big Jim'	cultivar - Wikidata	subclass of - Wikidata	wd:Q4750898	New Mexico chile	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q85799513		Capsicum annuum ‘Sandia'	cultivar - Wikidata	subclass of - Wikidata	wd:Q4750898	New Mexico chile	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q96318632		Capsicum annuum ‘Anaheim'	cultivar - Wikidata	subclass of - Wikidata	wd:Q4750898	New Mexico chile	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q105560983		Capsicum annuum ‘New Mexico No. 9'	cultivar - Wikidata	subclass of - Wikidata	wd:Q4750898	New Mexico chile	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q109378984		Capsicum annuum ‘Española Improved’	cultivar - Wikidata	subclass of - Wikidata	wd:Q4750898	New Mexico chile	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
														
wd:Q109122706		Solanum lycopersicum group 'Tomato'	cultivar group - Wikidata	skos:broadMatch	NCBITaxon:4081	Solanum lycopersicum	ManualMappingCuration	https://w.wiki/D7Wn	April 14,2025	1	https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-4499-0451		https://en.wikipedia.org/wiki/List_of_tomato_cultivars	
wd:Q3294493		Solanum lycopersicum 'Marmande'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q4832876		Solanum lycopersicum 'Azoychka'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q4921123		Solanum lycopersicum 'Black Krim'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q5092237		Solanum lycopersicum 'Cherokee Purple'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q5476268		Solanum lycopersicum 'Fourth of July'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q6760610		Solanum lycopersicum 'Marglobe'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q6929220		Solanum lycopersicum 'Mr. Stripey'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q16861014		Solanum lycopersicum 'Matt's Wild Cherry'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q25041950		Solanum lycopersicum 'Paul Robeson'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q25104845		Solanum lycopersicum 'Siberian'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q31838921		Solanum lycopersicum 'Sunviva'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q48814971		Solanum lycopersicum 'Jersey Boy'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q96195925		Solanum lycopersicum 'Vivagrande'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q106581429		Solanum lycopersicum 'Lukullus'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q116783079		Solanum lycopersicum 'Goose Creek'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
wd:Q127514380		Solanum lycopersicum 'Albenga'	cultivar - Wikidata	subclass of - Wikidata	wd:Q109122706	Tomato cultivar	ManualMappingCuration		April 14,2025	1	https://orcid.org/0000-0002-8844-9165			
